id1,id2,id3,id4,id5,isfraud,spns,fraudspns,isGEM
0.980327869,1.074310123,0.733689167,1.228743807,0.675210918,1,ZGPA,T,1
0.886178862,0.980594974,0.342183525,1.173005337,0.760329576,1,XYZQ,T,1
1.035211268,0.990593667,1.424998146,1.352931597,1.063665699,1,ZXJT,T,1
1.725056689,0.915126872,0.793596523,1.408295151,0.722293301,1,NJZQ,T,1
0.859554873,1.132191184,1.26593145,1.300013109,1.158907319,1,ZGPA,T,1
1.04822335,1.051402447,1.560948624,2.668116953,1.092255381,1,AXZQ,T,0
1.187096774,0.828883724,2.198689846,1.164465858,0.897900073,1,XSD,T,0
0.913043478,1.024855103,0.769963731,1.257670188,0.89305722,1,XDZQ,T,0
0.987220447,1.119360785,0.690322322,1.207570726,0.969215233,1,LHZQ,T,0
0.852604828,0.938588672,1.52233817,1.178347769,0.492356539,1,ZGPA,T,1
1.532908705,0.665135094,0.788725282,1.283504367,0.494142324,1,HTLH,T,1
1.355237476,0.96144216,4.026702729,2.601818757,1.041319539,1,MSZQ,T,0
0.830409357,1.266555739,0.882196,1.32334521,1.189360038,1,PAZQ,T,1
1.17578125,1.473729702,0.646738746,1.390096626,0.910046296,0,HTZQ,F,0
0.944954128,1.062217353,1.053787656,1.326394084,0.563580835,0,GXZQ,F,0
1.246506986,1.442069278,5.43953443,1.28884682,1.316057876,0,GXZQ,F,0
1.370683039,1.232353805,2.220678488,1.476069249,1.788279637,0,ZXZQ,F,0
0.508348365,0.768617623,0.837076784,1.271636166,0.990822372,0,ZXJT,T,0
0.944148936,0.812817447,1.632350532,1.415664189,0.874296327,0,GXZQ,F,0
1.28436019,0.922421657,0.569211309,1.771288787,1.149948574,0,MSZQ,T,0
0.978698225,1.026438324,0.877175652,1.380087642,1.245996117,0,ZXZQ,F,0
1.066019417,0.606897945,1.052001825,1.688317146,0.948519007,0,GDZQ,F,0
1.123028391,1.506878869,1.993322399,1.286574072,1.571946325,0,YHZQ,F,0
0.793557833,1.084439613,0.772199932,1.57207804,1.037563954,0,ZXJT,F,0
1.081196581,0.774234661,2.017402999,1.300007526,0.788363391,0,GYZQ,F,0
0.906836056,0.494699998,0.538956932,1.221352234,0.517165757,0,GXZQ,F,0
1.324364723,1.646874182,0.828275396,1.785181895,1.178571094,0,GYZQ,F,0
1.276450512,0.993194787,0.947514364,1.566829044,1.544171271,0,ZGPA,T,0
1.746238308,1.029234745,1.136074549,1.270855642,1.042398014,0,ZYGJ,F,0
1.426008969,0.755925605,1.106701891,1.979855204,1.121589058,1,CJZQ,T,1
1.184834123,1.693883129,0.776321418,1.333307839,1.448230107,1,ZGPA,T,1
1.41958042,1.169926105,1.293803655,1.681280793,1.701136836,0,GZZQ,F,0
1.699590784,0.707927879,2.158409505,1.141355896,0.807872859,0,GXZQ,F,0
1.117464264,1.561034146,1.253126658,1.098023814,1.701257863,0,ZXZQ,F,0
0.693255512,1.523167925,0.432823855,1.742614579,0.890479993,0,ZXZQ,F,0
1.004559271,1.166539851,1.470030856,1.087437875,0.890944947,1,,T,1
0.829305136,0.706913021,0.950676943,0.901743744,0.619224384,1,,T,0
